Date,Microsoft,Google,Amazon,Oracle,Meta,CoreWeave,Nebius,Applied Digital,IREN,Core Scientific,DigitalOcean,NVIDIA,AMD,Broadcom,Marvell,Qualcomm,Arm,Intel,Micron,SanDisk,Western Digital,Seagate,NetApp,TSMC,ASML,Applied Materials,Lam Research,KLA,Teradyne,ASM International,Tokyo Electron,Palantir,ServiceNow,Salesforce,Adobe,Snowflake,Datadog,MongoDB,Cloudflare,CrowdStrike,Palo Alto Networks,Zscaler,GitLab,Atlassian,NextEra Energy,Constellation Energy,Vistra,Southern Company,Duke Energy,American Electric Power,Dominion Energy,Vertiv,Eaton,GE Vernova,Quanta Services,Hubbell,Schneider Electric,Arista Networks,Cisco,Credo Technology,Astera Labs,Coherent,Lumentum,Ciena,Amphenol
2026-01-23,38000200,27280000,33778500,23011300,22797700,20375000,10064600,48149200,56562200,12250400,1836000,142748100,47525900,30259500,13924600,7106700,6814500,294675400,35404200,21061100,6115700,2957800,3266200,12904400,1556300,6201000,10156800,10102000,1830500,25800,82000,30285700,16605400,9408000,4368700,2905300,4073300,1047200,3652100,7083200,5791000,1510300,6494700,5863000,13301700,3785200,4475800,5483900,4491000,2525900,5245600,3496300,2235400,2009600,761500,404252,271200,8053900,13125500,4348200,6106400,2564900,3469400,1806100,7333300
2026-01-26,29291200,26042100,32825500,21100400,16327400,49349000,14675900,48010800,42447700,14815100,7131400,124799600,30672500,25006400,12464600,8004200,3716600,149407800,29193900,13435200,7128300,5039000,2374800,8646400,2001300,4777200,10625600,12599000,2084300,11200,85200,22777200,17489700,7239600,4115300,3463800,5395500,958300,7867800,7828400,5356700,1420900,7118500,6110700,10990600,3344100,3953100,7611900,3955600,3992200,4454200,3020100,2812600,2662100,548200,332390,254000,10658200,24714400,4894700,4026900,3097000,2726800,1471500,10563900
2026-01-27,29213900,21636200,38029200,27093700,13297400,49218800,11670900,47555700,55177900,16624300,5930000,143711600,25691600,25537600,11307900,8354600,4500600,121832200,36212100,14015600,7483000,7353600,2254400,11298100,3473900,8033000,12005900,11742000,2805200,8800,127600,26542300,11804200,9838400,4166300,2855400,5931800,703000,12530700,11338000,5540000,3415600,4044000,4270800,15472300,5963900,3622100,4470400,4812900,2675700,3876500,4390300,2814700,4714700,821000,500857,240100,8697000,17756700,4884200,3385300,4140200,3618600,1971300,18312500
2026-01-28,36875400,27434400,40882700,35882700,25709600,36455600,11834100,30478600,44007300,10238800,5746700,148552700,27061200,23001700,10311000,8539000,7947400,201995100,42725700,16486300,16090500,14749800,1947200,12140100,5036800,8470000,15630600,10915000,3909300,13000,194500,44822800,21254100,8465900,3942800,4807200,6364100,863800,8947100,9530000,4159800,1425000,3025900,2524200,8200000,3279700,4263800,4251300,4463400,1888800,3386200,4935700,3072500,5776300,976100,629734,461700,8568200,14022900,5147000,3801200,4303500,4356800,2073000,37790600
2026-01-29,128855300,39785600,47229600,37254500,59852900,30885900,13332200,30467100,49193900,11583700,3764900,171764400,31685200,20447500,13944900,9142900,6154700,124256600,42675700,23010300,15770500,9052800,2603300,13844800,2818900,7350500,16801600,15064000,2695100,15600,225100,59846800,55125100,18555600,7410800,7999600,9773900,2745000,5966000,20921200,12925300,3090400,5353500,9472300,11202400,3141900,4798800,5943600,4298400,3537800,4288000,5662000,4065400,3491000,1035500,466244,1203200,8915300,22642900,5588100,4376600,4535800,4006600,2262400,16929400
2026-01-30,58566800,31024000,46585000,27362400,23744600,25314900,18182300,30806600,48061800,13131300,2293700,179489500,40035700,28313000,12581400,9577200,4950700,114920100,51022900,40932100,21695100,9224400,4167900,12028100,2358800,9814100,18352900,27881000,3704500,18600,331100,47271000,28053900,11090400,5713000,5753500,5338900,1603900,3497600,10381600,7628100,1569100,3566300,4400000,10205300,2756300,3810800,5344800,5603000,3640700,8217000,4502700,4260900,3865700,1838300,533319,471400,6364000,26458400,6759200,4281200,7083200,7098800,3246900,12333700
2026-02-02,42219900,32006100,37546100,47421000,14365200,19489100,10501300,23149400,40905300,10561800,4403200,165794100,36308100,17278200,14513000,9099100,5001100,101414600,37771200,28765800,16019300,6062800,2681500,12459100,1766600,7409600,13299300,16038000,6576500,21600,105900,72811100,18889100,7950900,4357000,4746800,4691300,1086400,4382000,8294800,4978100,1418200,5108100,5168700,9423100,4044500,5506900,5260600,4273000,3941300,6022800,4112100,3867500,4074400,1233100,673458,317000,7719200,28238600,5572900,3132600,5212000,5799100,2534000,9951100
2026-02-03,61424100,36506700,53831300,43260100,13760700,25101400,9743100,26691500,36286500,10278500,4274900,204019600,53097100,36914800,22563900,11966400,7058000,122205100,42763300,31213200,15378400,6089200,2204400,12540000,2205100,10697000,13500400,20559000,11795000,7600,177900,113169200,34729600,20194200,8324900,13814000,7743300,1991800,7647200,15339600,9945900,3162800,7587800,7658000,9600200,3584200,4375800,6229900,4169300,3482200,7696100,4433000,5853300,3856200,1243300,1061495,2270100,8202300,34962100,10940600,5290000,6938800,8109400,3186600,10358500
2026-02-04,45012400,70618400,51299900,42323400,16882800,26247800,15962800,38524300,66531600,14239200,3073300,207014100,107173300,43330300,17506200,19249300,12213700,128702300,58074900,29007600,14795800,6601100,3539300,18176000,2479400,14719400,19608000,15838000,7187400,10400,205000,113199500,36718100,23010000,8554200,17295400,6621400,2587300,7490900,18932000,10470800,2407500,4232400,7445100,12182700,7172000,13329800,7338300,5679700,4653400,5492700,8287200,5131600,5058000,1482600,1204392,756200,13313800,39765700,14406000,5743600,13363100,12144900,5577100,21254200
2026-02-05,66289200,88205800,103509200,42789000,17131800,23637700,17441100,29119800,71587100,16998600,3302300,206312900,62196400,42775800,19202000,30229600,24625000,114307800,38899500,27725500,10663900,5641900,2427900,14812000,1790200,8514300,10928900,13017000,3896600,9900,398400,93690800,36178800,21956300,6293600,8089400,6563800,1616700,5936200,24212800,12780500,3189500,6692900,8239600,9799400,4001600,7112900,5913400,4224100,4338300,3495500,6144600,3303300,3608600,1112000,668503,1419900,9640500,24236500,8225300,4476900,12867100,8673000,3316200,19602600
